Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
Chompy Chomp Chomp Party,-5,5,2,9.90925044111772e-02
Chook & Sosig: Walk the Plank,3,6,8,0.171662923057183
Chop is Dish,-1,7,7,0.159812767693596
Choplifter HD,-4,9,9,8.86352856091752e-02
Chopper I,-8,9,7,0.17726902571288
ChoroQ,6,4,8,0.134421353453867
Christmas Adventure of Rocket Penguin,9,3,9,0.123740309519328
Christmas Clix,1,4,6,0.110365720360342
Christmas Wonderland 3,-4,5,4,0.108560351665688
Christmas Wonderland 4,-6,5,2,0.10486376262707
"Christopher Brookmyre's Bedlam",-10,6,1,0.104816656661359
Chroma Blast,-8,7,4,0.13440527887685
Chroma Quaternion,40,10,29,0.157643425690149
Chroma Squad,-2,15,17,0.136358424923039
ChromaGun,-2,10,10,9.97571204612249e-02
ChromaGun VR,-5,4,2,9.08163817639055e-02
Chromehounds,-6,5,2,8.63872890975362e-02
Chronicle of Innsmouth: Mountains of Madness,-2,9,8,0.177295141927014
Chronicles of Teddy: Harmony of Exidus,-16,13,7,0.144260810715633
Chrono Cross,0,3,2,7.92817888472546e-02
Chronos Twins DX,4,5,7,0.153535563330506
Chronos: Before the Ashes,-7,38,37,0.177546203225478
Chronus Arc,-18,21,18,0.140127320338536
Chrysler Classic Racing,-4,4,3,0.108560351665688
ChuChu Rocket!,3,2,3,9.91049631962976e-02
Chubbins,-6,5,2,0.10486376262707
Chulip,-9,9,4,0.149614022578106
Chuusotsu! 1.5th Graduation: The Moving Castle,-11,7,4,0.157276019639165
Ciel Fledge: A Daughter Raising Simulator,-13,11,8,0.184820436795579
Cinders,-17,19,15,0.12893646549494
Circle Empires Rivals,-16,11,4,0.155955071508454
Circle of Sumo,-4,4,3,0.108560351665688
Circle of Sumo: Online Rumble!,4,4,6,0.128454185043357
"Circles, Circles, Circles",3,2,4,6.42228866023943e-02
Circuit Breakers,-5,8,8,0.114714928829868
Circuits,1,3,5,9.50640508450686e-02
Circus Maximus: Chariot Wars,0,3,4,9.29752697541374e-02
Citadale: Gate of Souls,-19,9,1,0.149469538729289
Citadel: Forged with Fire,3,6,8,0.103937631943589
Cities: Skylines - Campus,-4,8,7,0.156073776862456
Cities: Skylines - Green Cities,-17,14,7,0.173812545650125
Cities: Skylines - Industries,1,3,4,9.91111920015578e-02
Cities: Skylines - Mass Transit,-18,18,11,0.156026310415506
Cities: Skylines - Natural Disasters,-1,16,16,0.164043272250335
Cities: Skylines - Nintendo Switch Edition,-4,5,2,0.108560351665688
Cities: Skylines - Parklife,6,5,8,0.158561634125132
Cities: Skylines - Parklife Edition,-10,15,8,0.229427169727447
Cities: Skylines - PlayStation 4 Edition,-3,3,2,8.17213268526399e-02
Cities: Skylines - Snowfall,-11,14,11,0.140834171439309
Cities: Skylines - Sunset Harbor,-4,10,9,0.117256715223535
Cities: Skylines - Xbox One Edition,7,7,10,0.159789589206889
Citizens Unite!: Earth x Space,1,6,8,0.126924644238763
Citizens of Earth,4,13,15,0.126390604647433
Citizens of Space,11,17,23,0.137666228381369
City Builder,9,5,9,0.159774135014356
City Crisis,3,3,4,0.113864885709875
City Mysteries,2,2,3,8.86449594959785e-02
City Racer,-3,6,6,0.13589037683366
City of Brass,15,10,15,0.125857302126083
ClaDun Returns: This is Sengoku!,14,7,13,0.194141115403624
ClaDun x2,4,2,5,9.29619894698597e-02
Cladun: This is an RPG,-4,4,2,9.70967872954104e-02
Claire: Extended Cut,-21,22,15,0.203540356671725
Clan N,-11,8,4,0.152197362394186
Clan of Champions,-14,10,5,0.17042996187381
Clannad,7,6,11,0.193185227365718
Clarevoyance,-7,7,4,0.126895458611235
Clash,-16,8,2,0.145528574038309
Clash Force,-22,22,13,0.139179883672757
Clash of the Titans,-15,14,8,0.151568641356438
Class of Heroes,-4,4,2,0.115572744137922
Class of Heroes 2,-2,7,5,0.156079709760292
Classic British Motor Racing,-3,4,3,9.91049631962976e-02
Classic Card Games,5,2,5,9.90925044111772e-02
Classic NES Series: Castlevania,0,4,5,7.67642619657375e-02
Classic NES Series: Donkey Kong,5,3,5,0.120558915605004
Classic NES Series: Dr. Mario,-7,5,2,9.90738132958892e-02
Classic NES Series: Excitebike,2,3,5,0.101071720548981
Classic NES Series: Ice Climber,3,2,4,6.42228866023943e-02
Classic NES Series: Metroid,-2,7,5,0.165844186712832
Classic NES Series: Pac-Man,1,3,4,9.91111920015578e-02
Classic NES Series: Super Mario Bros.,11,3,7,0.152197362394186
Classic NES Series: The Legend of Zelda,-2,3,2,6.26765265139084e-02
Classic NES Series: Zelda II: The Adventure of Link,6,3,7,8.40827782006816e-02
Classic Snake Adventures,-18,17,11,0.14828050706623
Classified: The Sentinel Crisis,-3,5,5,0.110360126770619
Claws of Furry,-27,25,16,0.185327452985395
Claybook,10,8,13,0.13730603994583
Clea,-40,30,16,0.218782986566159
Clea 2,1,6,8,0.171666519165405
Clicker Heroes,-13,16,11,0.15027429297042
Climb With Wheelbarrow,-9,6,2,0.120523066601557
"Clive Barker's Jericho",-19,13,7,0.110323922411595
Clock Simulator,0,3,2,9.29752697541374e-02
Clock Tower 3,-10,6,4,0.14828518520138
Clock Tower II: The Struggle Within,3,2,3,9.91049631962976e-02
Clockwork Tales: Of Glass and Ink,-10,10,6,0.122165655275298
Cloning Clyde,11,3,7,0.149593390572081
Close Combat: First to Fight,1,2,2,9.08367719933833e-02
Close Combat: The Bloody First,6,8,12,0.12217575923018
Close to the Sun,-7,30,33,0.155299236955767
Closed Hands,-5,10,6,0.178390733233438
Closure,-16,11,6,0.120522111935988
Cloudbase Prime,4,4,7,0.12535797955558
Cloudberry Kingdom,1,14,15,0.129967043432711
Cloudpunk,31,29,44,0.180266161170168
Clouds & Sheep 2,10,15,21,0.118912789327868
Cloudy With a Chance of Meatballs,3,17,21,0.119328671546981
Club Penguin: Game Day!,2,3,4,0.108568881031919
Club Soccer Director PRO 2020,-20,15,6,0.185784473656736
Clubhouse Games: 51 Worldwide Classics,6,7,10,0.126907314708411
Clue: The Classic Mystery Game,-17,7,2,0.178276499458477
Clumsy Rush,-22,19,10,0.154742325747126
ClusterPuck 99,4,5,6,0.142932679047279
ClusterPuck99,4,3,4,8.63917543645951e-02
ClusterTruck,-21,22,12,0.179980898590651
Clustertruck,-21,11,1,0.144073201102263
Coaster Crazy Deluxe,-2,7,6,0.137331327382305
Coaster Creator 3D,1,4,4,0.120574276200792
Coaster Works,-2,4,3,0.104887307676511
Cobalt,0,5,5,0.131486887451598
Cobra Kai: The Karate Kid Saga Continues,-11,24,19,0.173912061175951
Coconut Dodge,13,2,10,0.126822465157808
Cocoro: Line Defender,-10,9,4,0.156032240261092
Cocos Sharks Island,-2,2,1,6.86622922458912e-02
Cocoto Fishing Master,2,7,8,9.70964325094501e-02
Cocoto Kart Racer,-24,12,4,0.189895807192889
Cocoto Magic Circus,4,3,5,0.118923983302215
Cocoto Magic Circus 2,8,5,9,0.170489717069699
Cocoto Platform Jumper,-16,8,2,0.145528574038309
Cocoto: Alien Brick Breaker,1,2,3,8.17288805281595e-02
Code 51: Mecha Arena,5,7,11,0.171655730614728
Code Lyoko: Quest for Infinity,-3,9,9,9.7767954658506e-02
Code Name: S.T.E.A.M.,-1,9,8,0.129213357866026
Code Shifter,6,10,12,0.141541399608958
Code Vein,1,27,31,0.187678549817234
Code of Princess,7,3,5,0.135867660857333
Code of Princess EX,7,5,9,0.152233862751421
Code:Realize - Bouquet of Rainbows,5,8,11,0.199202911305338
Code:Realize - Future Blessings,19,7,16,0.206817221350736
Code:Realize - Guardian of Rebirth,17,4,12,0.159673646303958
Code:Realize - Wintertide Miracles,9,6,10,0.19719863769006
Code:Realize ~ Wintertide Miracles ~,0,7,9,0.179499413070714
Coded Arms,-2,4,3,0.108568881031919
Coded Arms: Contagion,1,3,4,9.91111920015578e-02
Codename: Kids Next Door: Operation S.O.D.A.,1,4,6,0.110365720360342
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,27,12,24,0.158105417536563
Coffee Crisis,-4,13,11,0.153526513856469
Coffee Talk,9,33,37,0.17077902803419
Coffeetime Crosswords,-4,3,1,7.92740035289418e-02
Coffin Dodgers,-11,19,16,0.141534343633379
Cohort Chess,-1,6,6,0.132972081840243
Cold Fear,8,8,12,0.14831432275827
Cold Iron,-8,8,4,0.150930138446034
Cold Silence,-5,6,4,0.149642902607552
Cold War,-3,4,3,0.117264942820175
Cold Winter,2,4,5,8.8638864233538e-02
Colin McRae Rally 04,-2,3,2,8.86449594959785e-02
Colin McRae Rally 2.0,-5,8,5,0.10580767579935
Colin McRae Rally 2005,9,4,7,8.93646518577219e-02
Colin McRae Rally 3,5,5,8,8.93700231250462e-02
Collar x Malice - Unlimited -,1,7,10,0.201174944858719
Collar x Malice for Nintendo Switch,-9,8,5,0.159774135014356
Collateral Thinking,-22,12,4,0.174853177678344
Collection of Mana,-2,2,1,6.86622922458912e-02
Collection of SaGa: Final Fantasy Legend,1,8,10,0.159812767693596
College Hoops 2K6,1,8,9,9.50523236372633e-02
College Hoops 2K7,-16,14,8,9.03810814670453e-02
College Hoops 2K8,-14,17,14,0.114414976315648
Collidalot,3,6,8,0.138751753620954
Collide-a-Ball,-6,6,3,0.122170707605325
Colonials Programme,-6,8,6,0.150944453246036
Colony Wars,3,2,4,9.08299757588196e-02
Color Bombs,-6,5,3,0.13146575846004
Color Guardians,7,4,8,0.132944223830701
Color Jumper,-4,4,3,0.108560351665688
Color Symphony 2,-1,8,9,0.118093780349686
Color Zen,-2,13,11,0.128446707006756
Color Zen Kids,2,8,10,9.29627258156865e-02
ColorZ,-14,9,2,0.134329472818761
Colorful Colore,4,6,8,0.153535563330506
Coloring Book,0,6,7,0.125367828161445
Colors! 3D,-11,7,3,0.149593390572081
Colosseum: Road to Freedom,-1,3,2,9.91111920015578e-02
Colossus Down,-28,38,27,0.181086179237289
Colt Canyon,-6,36,32,0.17559999836791
Columns Crown,5,4,6,0.135881290898835
Combat Elite: WWII Paratroopers,-26,17,5,0.113228419681961
Combat Mission Black Sea,-12,12,6,0.179437497741659
Combat of Giants: Dinosaurs 3D,-6,7,5,0.140145672420382
Combat: Task Force 121,-10,8,4,0.140110428946313
Come Back: Chapter 1,0,5,5,0.128463796280561
Comet 64,-11,7,2,0.126851667579438
Comet Crash,4,7,11,0.156073776862456
Comet Crash 2: The Kronkoid Wars,-7,7,6,0.132944223830701
Comic Jumper: The Adventures of Captain Smiley,-6,8,5,0.156063888198188
Comic Workshop,-4,3,1,7.92740035289418e-02
Comic Workshop 2,-1,5,6,0.117270207062361
Comix Zone,-11,13,10,0.105489101449525
"Command & Conquer 3: Kane's Wrath",7,3,5,0.138729506175648
Command & Conquer 3: Tiberium Wars,-3,4,3,0.120569156219635
Command & Conquer Remastered Collection,0,11,15,0.213493718361831
Command & Conquer: Red Alert 3,-25,19,9,0.155358209742004
"Command & Conquer: Red Alert 3 - Commander's Challenge",-2,2,1,4.85483930232866e-02
"Commander '85",-1,13,13,0.14609395035453
"Commander Cherry's Puzzled Journey",-12,12,11,0.137299859051454
Commander Keen in Keen Dreams,14,3,10,0.150862636093704
Commanders: Attack of the Genos,0,2,2,7.92895764597528e-02
Commandos 2 / Praetorians HD Remaster Double Pack,-5,12,11,0.121638634610316
Commandos 2 HD Remaster,-5,22,18,0.152237352368964
Commandos 2: Men of Courage,-19,11,3,0.111179374725226
Commandos Strike Force,-26,18,7,0.144204645945737
Community Inc,3,5,8,0.144304394828022
Company of Crime,-23,15,6,0.210521126337947
Conan,-16,20,14,0.148302994248262
Conan Exiles,-1,15,16,0.120149135537371
Conan Exiles: Isle of Siptah,-5,10,6,0.112989666645961
Conarium,15,16,21,0.165417380540332
Concept Destruction,-41,40,20,0.125619823859614
Conception II: Children of the Seven Stars,-5,5,2,9.90925044111772e-02
Conception PLUS: Maidens of the Twelve Stars,0,4,5,0.122193443854495
Conception Plus: Maidens of the Twelve Stars,-13,15,10,0.20111049398894
Concrete Genie,17,5,15,0.126092354763623
Condemned 2: Bloodshot,-10,14,10,0.123763069841206
Condemned: Criminal Origins,-6,5,3,0.115559389765584
Conduct TOGETHER!,-1,3,3,9.08367719933833e-02
Conduit 2,-8,7,4,0.13440527887685
Confidential Mission,12,6,8,0.194161782836013
Conflict Zone,-16,16,10,0.164611006774007
Conflict: Denied Ops,2,10,10,0.150947517714968
Conflict: Desert Storm,-23,21,14,0.138705901445968
Conflict: Desert Storm II - Back to Baghdad,-12,12,6,8.97287477660716e-02
Conflict: Global Terror,-12,10,4,7.14504132998601e-02
Conflict: Vietnam,-16,12,6,0.122141023383576
Conga Master,7,2,6,0.10671143197793
Conga Master Party!,3,10,12,0.206948514466198
Conglomerate 451,-23,18,9,0.245022931523797
"Conker's Bad Fur Day",-4,7,5,0.140156684188577
Conker: Live & Reloaded,6,3,5,0.134421353453867
Connection Haunted,-11,8,4,0.149593390572081
Conqueror 940 AD,-5,7,6,0.157323113850129
Conspiracy!,-9,10,6,0.189060530622422
Constant C,-34,23,9,0.178258989612198
Constantine,-12,10,2,5.94467439485351e-02
Construction Simulator 2: Console Edition,6,14,18,0.138263651530658
Construction Simulator 3: Console Edition,-4,18,18,0.156060369631735
Constructor,-20,18,10,0.164594133304439
Constructor Plus,4,5,5,0.142932679047279
Contender 2,-9,9,3,0.146964285236605
Contra,-10,8,4,9.08074620190759e-02
Contra Advance: The Alien Wars EX,-3,3,2,8.17213268526399e-02
Contra Anniversary Collection,13,19,22,0.14929978480585
Contra ReBirth,-5,4,2,0.106728785546688
Contra: Rogue Corps,-30,34,26,0.150399290711635
Contra: Shattered Soldier,-1,3,3,9.08367719933833e-02
Contraptions,5,5,8,0.180579922251782
Contrast,3,23,25,0.130566576288252
Control,-8,29,29,0.15978777650316
Control: AWE,-5,34,31,0.208185488705284
Control: The Foundation,2,31,35,0.211617376130007
Control: Ultimate Edition,22,30,45,0.141529710682147
Control: Ultimate Edition - Cloud Version,-5,5,4,0.117254413626774
Conveni Dream,-1,4,4,0.106746136294301
Convoy: A Tactical Roguelike,2,23,24,0.169726411151088
"Cook, Serve, Delicious! 2!!",-7,21,19,0.158142279553675
"Cook, Serve, Delicious! 3?!",3,30,33,0.144829793831553
Cook-Out: A Sandwich Tale,11,6,13,0.164600456269801
Cooking Mama 4: Kitchen Magic,-1,2,2,5.05320418612521e-02
Cooking Mama 5: Bon Appetit!,-8,5,2,0.122153020930226
Cooking Mama: Cook Off,1,2,2,9.08367719933833e-02
Cooking Mama: Cookstar,-14,15,11,0.222437838380976
Cooking Mama: Sweet Shop,6,6,9,0.168182074799949
Cooking Mama: World Kitchen,0,3,3,9.71095021238936e-02
Cooking Simulator,-9,7,4,0.117217554001726
Cool Boarders 2001,-3,10,8,0.133694927473761
Coolpaintr VR,-5,7,6,0.167014911367471
Copter Crisis,1,2,3,5.77857033358591e-02
Coraline,-18,16,10,0.14560703458441
Corpse Party,2,7,11,0.13442823948931
Corpse Party 2: Dead Patient,-3,4,3,0.113864885709875
Corpse Party: Blood Drive,-8,12,11,0.138734233127625
Corpse Party: Book of Shadows,-11,9,5,0.186954155806137
Corridor Z,-11,8,3,0.159754815171358
Corruption 2029,-23,20,12,0.2513556353856
Corvette,-2,12,12,0.10487461461682
Cosmic Family,-3,3,1,7.14609405813012e-02
Cosmic Star Heroine,18,17,25,0.198172940618983
Cosmic Zephyr DX,-1,3,3,9.08367719933833e-02
Cosmodread,-3,9,8,0.206948514466198
Cosmonauta,-7,9,7,0.16700382232031
Cosmophony,-13,15,10,0.123762896917947
Costume Kingdom,-4,9,7,0.161030224050964
Costume Quest,7,8,11,0.12920619273101
Costume Quest 2,-3,13,14,0.114999713454772
Costume Quest: Grubbins on Ice,6,6,9,0.110349287490843
Countdown Vampires,-1,3,3,9.08367719933833e-02
Counter Fight 3,-9,8,4,0.157295643940605
Counter Force,-11,9,4,0.166970550760074
Counter Terrorist Agency,-12,7,2,0.134359340917043
Counter-Strike,-5,4,2,9.08163817639055e-02
Counter-Strike: Global Offensive,-6,8,6,8.09101742360995e-02
CounterSpy,4,7,11,0.122178916544722
Country Dance 2,-10,7,2,0.118869466143534
Country Dance All Stars,-5,5,2,0.113854042080475
Country Tales,5,7,10,0.154805385999987
Cover Your Eyes,0,10,12,0.206000362408364
Covert,4,7,10,0.170511441039852
Cozy Fire,1,4,6,0.110365720360342
Cozy Grove,31,25,42,0.146963533670461
Crab Cakes Rescue,-8,6,3,0.122153020930226
Crackdown,6,6,8,0.16344265370528
Crackdown 2,10,2,7,0.125306261675307
Crackdown 3,12,8,14,0.204029583635654
Crackdown 3: Wrecking Zone,11,8,14,0.186954155806137
Cranium Kabookii,4,3,4,8.63917543645951e-02
"Crash 'N' Burn",-14,10,4,0.113826593854509
"Crash 'n' the Boys: Street Challenge",0,4,5,0.108571724005093
Crash Bandicoot 2: N-Tranced,-7,7,5,0.103930208913956
Crash Bandicoot 3: Warped,3,3,5,0.110360126770619
"Crash Bandicoot 4: It's About Time",9,60,68,0.156472883112199
Crash Bandicoot N. Sane Trilogy,10,19,25,0.162629832529666
"Crash Bandicoot Purple: Ripto's Rampage",-4,4,2,0.115572744137922
Crash Bandicoot: The Huge Adventure,-7,4,1,9.90738132958892e-02
Crash Bandicoot: The Wrath of Cortex,5,12,13,0.125870922707225
Crash Bash,-4,6,4,0.115572744137922
Crash City Mayhem,0,3,3,6.86600431991963e-02
Crash Commando,-1,6,6,0.135894919573265
Crash Drive 2,11,6,12,0.201128910630611
Crash Nitro Kart,-5,14,14,9.75983554343584e-02
Crash Tag Team Racing,-10,15,12,9.70902306198706e-02
Crash Team Racing,-3,6,5,0.126919780433573
Crash Team Racing: Nitro-Fueled,21,18,28,0.143932472675523
Crash Time 3D,-8,6,2,0.101025901733195
Crash Time 4: The Syndicate,-9,7,3,8.5232639103209e-02
Crash Time 5 - Undercover,-8,5,1,9.70586328159903e-02
Crash Time: Autobahn Pursuit,2,4,4,0.128461393538675
Crash Twinsanity,-1,9,10,0.106732800365127
Crash of the Titans,-22,25,17,0.10926229739847
Crash: Mind Over Mutant,-7,21,18,0.131838683731444
Crashbots,2,3,4,0.104887307676511
Crashlands,-14,13,7,0.126882995274898
Crashmo,-6,6,4,0.128442169985475
Crashnauts,-8,6,3,0.122153020930226
Crawl,-17,29,20,0.158955179529025
Crawlco Block Knockers,-3,7,6,0.141555302796419
Crawlers And Brawlers,3,9,11,0.173936809702352
Crayola Scoot,-6,19,15,0.145643059708329
Crayola: Colorful Journey,0,6,9,0.163459649377024
Crazy BMX World,-6,4,1,8.86170990538679e-02
Crazy Chicken: Pirates 3D,-15,9,2,0.141437506356594
Crazy Construction,3,3,5,0.123785201249627
Crazy Frog Racer 2,-9,6,4,8.97234808946379e-02
Crazy Kangaroo,1,4,4,0.106746136294301
Crazy Machines,-5,4,2,0.106728785546688
Crazy Machines Elements,-6,13,11,0.148317963988332
Crazy Mouse,-6,4,1,6.26666782950451e-02
Crazy Strike Bowling EX,-4,10,8,0.115569403984519
Crazy Taxi,7,12,14,9.80987152222191e-02
Crazy Taxi 2,4,3,6,0.108560351665688
Crazy Taxi 3: High Roller,-7,5,1,9.07959869553548e-02
Crazy Taxi: Catch a Ride,-6,7,3,0.128442169985475
Crazy Taxi: Fare Wars,-6,7,4,0.122170707605325
Crazy Zen Mini Golf,-19,9,1,0.152075631265638
Creaks,-5,27,23,0.121481649704074
Create,-5,8,7,8.69562030000948e-02
Creature Defense,-1,5,4,0.141559663745066
Creature in the Well,-2,32,32,0.160402985838041
Creatures,-2,3,2,8.86449594959785e-02
Creed: Rise to Glory,1,8,12,0.182753021553259
Creeper World 4,-5,4,2,0.106728785546688
Creeping Terror,2,8,9,0.181673543986767
Creepy Brawlers,-7,7,4,0.154793422292791
Creepy Road,-35,24,10,0.139604004997946
Creepy Tale,-17,16,10,0.166387456739155
Crescent Pale Mist,-2,3,2,6.26765265139084e-02
Crew 167: The Grand Block Odyssey,5,8,13,0.182742887515097
Cricket 19,-6,18,21,0.158556440790345
CricktoGame: Nintendo Switch Edition,5,2,4,0.106728785546688
Crime Life: Gang Wars,-15,11,4,0.10577121164262
Crime Opera: The Butterfly Effect,-31,28,17,0.170831708981002
Crimson Alliance,4,2,4,0.101062558447657
Crimson Dragon,-12,9,5,0.168132514735576
Crimson Gem Saga,3,3,5,0.106740353025139
Crimson Keep,-8,15,10,0.120010268014255
Crimson Sea,-6,4,2,0.115559389765584
Crimson Sea 2,-4,3,1,5.60551854671211e-02
Crimson Shroud,-6,7,5,0.16582929676966
Crimson Skies: High Road to Revenge,2,5,7,0.13148453995354
Crimson Spires,-5,9,7,0.210705784386423
Crimson Tears,5,2,3,8.52453106117711e-02
Crimsonland,-15,27,24,0.138374106514303
Crimzon Clover - World EXplosion,-3,4,3,9.91049631962976e-02
Crisis Core: Final Fantasy VII,5,4,9,0.132958153565089
Crisis VRigade 2,3,3,4,0.129978787816329
Crisis on the Planet of the Apes VR,3,9,11,0.201171876237904
Critter Crunch,3,3,7,0.113864885709875
Critter Round-Up,0,2,2,7.92895764597528e-02
Croixleur Sigma,-6,5,3,8.17133004000494e-02
Cross Edge,11,2,7,0.129912278806047
CrossCode,13,22,28,0.164626810933754
CrossCode: A New Home,-3,12,13,0.214408736079829
CrossKrush,2,14,16,0.129462116000033
Crossing Souls,-4,22,22,0.192164759510984
Crossout,-4,10,10,0.122178916544722
Crossroads Inn,-10,7,3,0.140110428946313
Crossword City Chronicles,-4,10,8,0.128448776400351
Crosswords Plus,1,8,8,0.167025999678418
"Crouching Tiger, Hidden Dragon",-5,15,14,0.137790001244964
Crown Trick,13,14,21,0.178915528090747
Crucible,0,8,9,0.161037891061588
Cruel Bands Career,-5,12,12,0.219832210238575
"Cruis'n",-9,7,3,0.135849485341398
"Cruis'n  Exotica",6,2,5,0.108546134565918
"Cruis'n Velocity",-6,5,2,0.10486376262707
Crusader Kings III,-9,15,13,0.168755769273283
Crush,-2,3,3,8.40956254935284e-02
Crush Your Enemies!,-17,14,7,0.182631375981676
Crushed Baseball,-2,3,3,5.9460044131941e-02
Crusty Demons,-1,4,3,0.113870307137344
Cruz Brothers,1,10,11,0.150295854121656
Crying Suns,4,3,4,0.122183339377189
CryoFall,-2,7,8,0.172805839360619
Cryogear,-18,13,8,0.169309069297292
Crypt of the NecroDancer,-4,12,11,0.112116487391009
Crypt of the NecroDancer: Nintendo Switch Edition,-4,4,4,0.112121383199966
Crypt of the Serpent King,1,11,12,0.164043272250335
Cryptark,-4,10,8,0.194212647145704
Crypto by POWGI,-6,12,11,0.156061908253429
Crysis,-19,13,9,0.15155133391545
Crysis 2,2,18,20,0.203098766872417
Crysis 2: Decimation Pack,-14,9,4,9.84190459568927e-02
Crysis 2: Retaliation Pack,2,8,9,0.125354899410184
Crysis 3,-14,12,8,0.125338007757328
Crysis 3: The Lost Island,-6,5,2,7.41519593755947e-02
Crysis Remastered,-14,32,31,0.176153973396927
Crystal Crisis,-18,9,4,0.17715581096231
Crystal Defenders,-6,8,9,0.125349975663434
Crystal Defenders R1,-10,6,3,0.150911731707987
Crystal Defenders R2,3,4,6,0.15225413694665
Crystal Ortha,1,11,15,0.157942852108653
Crystal Quest,-8,7,5,0.168169227296822
Crystal Rift,-5,7,6,0.171655730614728
Crystar,-4,5,5,0.161030224050964
Cthulhu Saves Christmas,9,12,17,0.156684422921536
Cube,0,6,6,0.165846047861731
Cube Blitz,-4,4,2,0.115572744137922
Cube Creator 3D,1,3,3,0.106746136294301
Cube Creator X,6,4,5,0.137313345605099
Cube Escape Collection,2,8,10,0.168196756459024
Cube Life: Island Survival,0,3,3,9.71095021238936e-02
Cube Life: Island Survival HD,-10,9,6,0.15349333986854
Cube Life: Pixel Action Heroes,-8,9,4,0.148303917933557
Cube Raiders,-2,5,6,0.112129641689515
Cube Tactics,-7,6,3,0.126895458611235
Cube World,-3,5,5,0.110360126770619
Cubemen 2,-11,8,3,0.154757525621997
Cubers: Arena,6,12,18,0.130467520203224
Cubic Ninja,-5,4,2,7.54676253143835e-02
Cubicity,9,7,12,0.164619207425432
Cubikolor,6,8,12,0.131468691746471
Cubism,2,5,6,0.145662134171079
Cubit The Hardcore Platformer Robot,-8,7,5,0.153511437060028
Cubit The Hardcore Platformer Robot HD,-7,9,7,0.169340282527489
Cubivore: Survival of the Fittest,-1,3,3,9.08367719933833e-02
Cubix Robots for Everyone: Showdown,-5,5,3,7.54676253143835e-02
Cubixx,2,11,12,0.144294499084093
Cubixx HD,15,2,11,0.132842027813806
Cuboid,12,2,8,0.131402351100604
Cubot - The Complexity of Simplicity,10,3,6,0.150911731707987
Cue Sports: Pool Revolution,-5,6,5,0.129969288612895
Cuisine Royale,-1,13,12,0.147658875489439
Culdcept,-3,3,2,8.17213268526399e-02
Culdcept Revolt,6,9,13,0.192170786202977
Culdcept Saga,4,3,4,0.122183339377189
Cultist Simulator: Initiate Edition,-11,7,2,0.126851667579438
Cuphead,5,20,27,0.15979098191466
Curious Expedition,-6,19,20,0.149195953680085
Curious Expedition 2,-9,17,15,0.228575657483568
Curious George,2,10,14,0.110943361800761
Curling,-2,10,9,0.185948879583888
Curse of Anabelle,-1,3,3,9.08367719933833e-02
Curse of the Dead Gods,-48,52,32,0.173646525265183
Curse: The Eye of Isis,-1,4,4,0.106746136294301
Cursed Castilla,-9,10,7,0.173904864569571
Cursed Castilla EX,-12,8,3,0.148262286425583
Cursed Mountain,-6,5,2,8.63872890975362e-02
"Curses 'N Chaos",-5,4,2,9.08163817639055e-02
Custom Robo,-9,5,1,0.106688289495426
Cut the Rope,-2,4,3,0.104887307676511
Cut the Rope: Triple Treat,-2,4,3,0.104887307676511
Cutie Clash,-7,8,6,0.146981086315304
Cutie Pets Go Fishing,-1,3,3,9.08367719933833e-02
Cutie Pets Jump Rope,8,3,6,0.140130254491154
Cutie Pets Pick Berries,-1,4,4,0.106746136294301
Cutish,0,4,4,0.112132394384201
Cy Girls,9,2,7,8.28960351333016e-02
Cyanide & Happiness - Freakpocalypse,3,16,17,0.169923915936369
Cybarian: The Time Travelling Warrior,-31,22,9,0.136777758646305
Cyber Complex,15,3,9,0.16455169326517
Cyber Hook,-1,4,4,9.50640508450686e-02
Cyber Ops,3,3,4,0.113864885709875
Cyber Protocol,-21,17,7,0.142178654866098
Cyber Shadow,3,33,36,0.142229019540248
Cyberball 2072,-6,4,1,8.86170990538679e-02
Cyberdimension Neptunia: 4 Goddesses Online,-4,12,10,0.209774615353023
Cyberpunk 2077,11,22,28,0.125606112592795
Cybershock: Future Parkour,-10,8,5,0.14828518520138
Cycle 28,-3,5,4,0.147002084963369
Cymatically Muffed,5,16,21,0.174484728598805
Cytus Alpha,2,2,3,8.86449594959785e-02
D-Cube Planet,-3,4,4,0.123785201249627
D/Generation HD,3,5,7,0.138751753620954
D/Generation: The Original,-2,5,7,0.122190917813504
D1 Professional Drift Grand Prix Series,7,3,6,0.129955038505829
D2,-8,6,4,0.145630345249702
"D4: Dark Dreams Don't Die",-10,7,2,0.134384608738234
DARK,-19,12,4,0.180436285229975
DARQ,-8,4,1,0.112088343157051
DARQ: Complete Edition,-53,58,37,0.172933885512342
DC Universe Online,3,18,21,0.116580260363838
DC Universe Online: Lightning Strikes,-1,2,2,5.05320418612521e-02
DCL - The Game,9,7,12,0.129201415753578
DDRMAX2 Dance Dance Revolution,3,2,4,9.08299757588196e-02
DDRMAX: Dance Dance Revolution,-4,3,1,7.92740035289418e-02
DEADBOLT,-12,7,3,0.142863558482735
DEEP SPACE,-8,6,2,0.112088343157051
DEXED,1,8,8,0.178401114494989
DG2: Defense Grid 2,2,13,15,0.164640531184608
DICE: DNA Integrated Cybernetic Enterprises,-3,4,3,9.91049631962976e-02
DIRT 5,12,37,41,0.170949456166479
