Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
20XX,3,15,18,0.137790996577658
24: The Game,-3,6,5,0.100086617880156
25 to Life,-4,10,10,0.131471625889771
2Dark,-17,15,9,0.148945909553287
2MD VR Football,6,2,6,0.101047286432693
2MD: VR Football Unleashed,-3,4,2,0.106740353025139
2URVIVE,3,5,7,0.13589037683366
3 on 3 NHL Arcade,-3,7,6,8.17181781277301e-02
3 out of 10 Episode 1: Welcome to Shovelworks,15,5,12,0.122947348442782
3 out of 10: Season One,2,28,29,0.20082306622646
3 out of 10: Season Two,-8,7,4,0.145630345249702
"3, 2, 1...SuperCrash!",0,3,4,0.108571724005093
3-2-1 Rattle Battle,-3,4,3,9.91049631962976e-02
30-in-1 Game Collection: Volume 1,5,5,7,0.146993685864112
3000th Duel,-4,8,6,0.179492534644398
300: March to Glory,-9,6,4,9.80902825694554e-02
35 Junior Games,-14,9,3,0.150862636093704
36 Fragments of Midnight,7,8,15,0.205025997799595
360 Breakout,0,3,3,9.71095021238936e-02
39 Days to Mars,-18,18,10,0.162198829158097
3D After Burner II,-5,4,2,9.08163817639055e-02
3D Altered Beast,8,2,7,0.112088343157051
3D Classics: Excitebike,-4,3,1,5.60551854671211e-02
3D Classics: Kid Icarus,-1,2,2,7.14695786932763e-02
"3D Classics: Kirby's Adventure",1,2,3,8.17288805281595e-02
3D Classics: TwinBee,5,4,7,0.129969288612895
3D Classics: Urban Champion,-1,5,4,0.126924644238763
3D Classics: Xevious,-7,5,2,0.113837774699667
3D Dot Game Heroes,2,2,3,9.29719498609099e-02
3D Ecco the Dolphin,3,3,5,0.120569156219635
3D Fantasy Zone,1,2,3,8.17288805281595e-02
3D Galaxy Force II,-6,5,2,0.10486376262707
3D Game Collection: 55-in-1,-4,6,5,0.134432834117803
3D Gunstar Heroes,-2,7,6,0.158577206482372
3D MahJongg,-8,6,3,0.122153020930226
3D MiniGolf,-10,8,6,0.165799512871657
3D Out Run,-6,4,1,8.86170990538679e-02
3D Pixel Racing,-3,4,5,0.123785201249627
3D Solitaire,-3,6,6,0.123785201249627
3D Sonic the Hedgehog,5,3,7,7.80269991622673e-02
3D Sonic the Hedgehog 2,10,2,6,0.131428187421239
3D Space Harrier,4,7,7,0.18594389972182
3D Streets of Rage II,-5,4,3,0.120558915605004
3D Super Hang-On,0,4,3,8.8639734620123e-02
3D Thunder Blade,2,3,5,0.11893176942773
3D Twist & Match,6,3,5,0.134421353453867
3D Ultra MiniGolf Adventures,-3,3,2,5.77830330476985e-02
3D Ultra MiniGolf Adventures 2,-2,7,6,7.76095291044651e-02
3Souls,-1,7,8,0.164656703330532
3on3 Freestyle,14,10,19,0.149615829820078
3rd Eye,-5,5,3,0.106728785546688
4 Elements,0,3,4,9.29752697541374e-02
4 Elements HD,6,3,7,0.118911005293413
428: Shibuya Scramble,0,5,6,0.122193443854495
4x4 EVO 2,0,7,6,9.01020037963841e-02
4x4 Evolution,-5,9,9,0.112989666645961
5 Arcade Gems,-8,5,1,6.86420623050293e-02
5 Spots Party,3,2,4,6.42228866023943e-02
5 Star Wrestling,-1,5,6,0.129983537157721
