Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
A HERO AND A GARDEN,0,8,8,7.92778959013954e-02
A Hand With Many Fingers,-4,6,4,8.86362530225011e-02
A Hat in Time,-4,14,12,8.25132841977151e-02
A Hat in Time: Nyakuza Metro,0,4,4,7.92817888472546e-02
A Hat in Time: Seal the Deal,0,4,4,7.92817888472546e-02
A Hero and a Garden,0,4,4,7.92817888472546e-02
A Hole New World,0,12,12,7.92765983802061e-02
"A King's Tale: Final Fantasy XV",-2,16,16,0.109456446419
A Kingdom for Keflings,16,10,16,0.158532434891951
A Knight Never Yields,0,4,4,7.92817888472546e-02
"A Knight's Quest",2,16,18,7.98928320626481e-02
A Long Way Down,0,4,4,7.92817888472546e-02
A Lozenge,0,4,4,7.92817888472546e-02
A Magical High School Girl,0,4,4,7.92817888472546e-02
A Monsteca Corral: Monsters vs. Robots,0,4,4,7.92817888472546e-02
"A Monster's Expedition",2,6,8,9.91014575624044e-02
"A NIGHTMARE'S TRIP",0,4,4,7.92817888472546e-02
A Normal Lost Phone,0,4,4,7.92817888472546e-02
"A Painter's Tale: Curon, 1950",-4,6,4,8.86362530225011e-02
A Pixel Story,-4,10,8,8.40859892616487e-02
A Place for the Unwilling,0,4,4,7.92817888472546e-02
A Plague Tale: Innocence,0,8,8,7.92778959013954e-02
A Robot Named Fight!,0,4,4,7.92817888472546e-02
A Short Hike,24,20,34,0.165804867596687
A Sound of Thunder,2,8,10,0.113859123096937
A Space For The Unbound - Prologue,0,4,4,7.92817888472546e-02
A Space Shooter for 2 Bucks,0,6,6,9.7099964285426e-02
"A Street Cat's Tale",-4,6,4,8.86362530225011e-02
A Summer with the Shiba Inu,0,12,12,7.92765983802061e-02
"A Summer's End - Hong Kong 1986",0,4,4,7.92817888472546e-02
A Tale of Paper,-4,6,4,8.86362530225011e-02
A Total War Saga: TROY,0,4,4,7.92817888472546e-02
A Wake Inn,0,4,4,7.92817888472546e-02
A Walk in the Dark,0,4,4,7.92817888472546e-02
A Way Out,10,8,14,9.1893873626977e-02
A Wild Time Travelling Clone Dancing,0,4,4,7.92817888472546e-02
"A Winter's Daydream",0,8,8,7.92778959013954e-02
A World of Keflings,0,8,8,7.92778959013954e-02
A World of Keflings: It Came From Outer Space,0,8,8,0.112121381036987
"A World of Keflings: Sugar, Spice, and Not So Nice",0,4,4,7.92817888472546e-02
A World of Keflings: The Curse of the Zombiesaurus,0,4,4,7.92817888472546e-02
A-Men,0,4,4,7.92817888472546e-02
A-Men 2,0,4,4,7.92817888472546e-02
A-Tech Cybernetic VR,0,4,4,7.92817888472546e-02
A-Train 3D: City Simulator,0,4,4,7.92817888472546e-02
A-Train Express,0,4,4,7.92817888472546e-02
A-Train: All Aboard! Tourism,0,4,4,7.92817888472546e-02
A.R.E.S. Extinction Agenda EX,10,6,14,0.110338100559638
ABBA: You Can Dance,-2,10,10,0.132959021674044
ABZU,-4,14,12,8.25132841977151e-02
AC/DC Live: Rock Band Track Pack,-24,50,34,0.156885041109743
ACA NEOGEO: Last Resort,0,4,4,7.92817888472546e-02
ACA NeoGeo - Garou: Mark of the Wolves,-16,16,10,0.181630216281038
ACA NeoGeo - Shock Troopers: 2nd Squad,0,4,4,7.92817888472546e-02
ACA NeoGeo - Top Hunter: Roddy & Cathy,0,4,4,7.92817888472546e-02
ACA NeoGeo: 2020 Super Baseball,0,4,4,7.92817888472546e-02
ACA NeoGeo: Aero Fighters 2,0,4,4,7.92817888472546e-02
ACA NeoGeo: Aero Fighters 3,0,4,4,7.92817888472546e-02
ACA NeoGeo: Alpha Mission II,0,4,4,7.92817888472546e-02
ACA NeoGeo: Art of Fighting,0,4,4,7.92817888472546e-02
ACA NeoGeo: Art of Fighting 2,0,4,4,7.92817888472546e-02
ACA NeoGeo: Art of Fighting 3,0,4,4,7.92817888472546e-02
ACA NeoGeo: Baseball Stars 2,-4,6,4,8.86362530225011e-02
ACA NeoGeo: Big Tournament Golf,0,4,4,7.92817888472546e-02
ACA NeoGeo: Blazing Star,4,6,8,0.104877005922553
"ACA NeoGeo: Blue's Journey",0,4,4,7.92817888472546e-02
ACA NeoGeo: Burning Fight,0,4,4,7.92817888472546e-02
ACA NeoGeo: Fatal Fury,-36,22,10,0.185797787229281
ACA NeoGeo: Fatal Fury 2,0,4,4,7.92817888472546e-02
ACA NeoGeo: Fatal Fury 3,0,4,4,7.92817888472546e-02
ACA NeoGeo: Fatal Fury Special,0,4,4,7.92817888472546e-02
ACA NeoGeo: Galaxy Fight - Universal Warriors,0,4,4,7.92817888472546e-02
ACA NeoGeo: Ghost Pilots,0,4,4,7.92817888472546e-02
ACA NeoGeo: Gururin,0,4,4,7.92817888472546e-02
"ACA NeoGeo: Karnov's Revenge",0,4,4,7.92817888472546e-02
ACA NeoGeo: King of the Monsters,0,4,4,7.92817888472546e-02
ACA NeoGeo: Magical Drop II,0,4,4,7.92817888472546e-02
ACA NeoGeo: Magical Drop III,10,8,12,0.123763069841206
ACA NeoGeo: Magician Lord,0,4,4,7.92817888472546e-02
ACA NeoGeo: Metal Slug,-16,28,22,0.150932439356387
ACA NeoGeo: Metal Slug 2,0,4,4,7.92817888472546e-02
ACA NeoGeo: Metal Slug 3,-10,14,8,0.138729228114634
ACA NeoGeo: Metal Slug X,0,4,4,7.92817888472546e-02
ACA NeoGeo: Money Puzzle Exchanger,-4,12,10,0.134426517731631
ACA NeoGeo: Mutation Nation,0,4,4,7.92817888472546e-02
ACA NeoGeo: NAM-1975,0,8,8,7.92778959013954e-02
ACA NeoGeo: Neo Turf Masters,10,14,18,0.171638871042855
ACA NeoGeo: OverTop,0,4,4,7.92817888472546e-02
ACA NeoGeo: Power Spikes II,0,4,4,7.92817888472546e-02
ACA NeoGeo: Prehistoric Isle 2,0,4,4,7.92817888472546e-02
ACA NeoGeo: Pulstar,0,4,4,7.92817888472546e-02
